epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,511.421,4.29396,11.1977,0.11286,0.50064,0.03038,0.00035,6e-05,4.28458,25.9027,0.1839,0.00997674,0.00332558,0.00997674,0.00332558,0.00997674,0.00332558,0.00997674,0.00332558
2,817.864,3.01948,6.40141,0.08128,0.00358,0.69387,0.03276,0.01139,2.14841,3.4958,0.08175,0.019779,0.00659299,0.019779,0.00659299,0.019779,0.00659299,0.019779,0.00659299
3,1107.1,1.92575,3.7369,0.04711,0.32222,0.15454,0.11828,0.05189,1.9549,2.96161,0.07278,0.0293832,0.0097944,0.0293832,0.0097944,0.0293832,0.0097944,0.0293832,0.0097944
4,1383.8,1.66639,2.94978,0.03948,0.3143,0.34916,0.23532,0.11022,1.67763,2.54302,0.06132,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1657.03,1.52721,2.52924,0.03566,0.29556,0.40034,0.28501,0.15122,1.59479,2.25886,0.05874,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1929.52,1.44556,2.25513,0.03281,0.4893,0.49558,0.49479,0.2744,1.50264,1.66863,0.05628,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2203.16,1.3796,2.06052,0.03077,0.56292,0.55609,0.59424,0.3536,1.35044,1.46176,0.0479,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2485.12,1.33576,1.88581,0.02965,0.60718,0.60238,0.63865,0.38659,1.37739,1.33769,0.04958,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2776.7,1.28912,1.76558,0.02849,0.60053,0.63522,0.65432,0.42743,1.23547,1.30857,0.04285,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3069.09,1.25482,1.67902,0.02768,0.6514,0.67801,0.71682,0.45901,1.24238,1.16891,0.04336,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3406.28,1.23046,1.60473,0.02686,0.65125,0.67142,0.73265,0.46578,1.22641,1.17843,0.04242,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3690.83,1.20476,1.53246,0.02617,0.66552,0.70786,0.74791,0.48508,1.18827,1.09983,0.0415,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3978.92,1.18514,1.48538,0.0256,0.71509,0.70017,0.764,0.50185,1.15986,1.05205,0.0401,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,4269.54,1.166,1.43296,0.02505,0.73322,0.73806,0.78901,0.52146,1.15729,0.97433,0.04026,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4560.54,1.1444,1.3558,0.02459,0.75826,0.72976,0.80947,0.5472,1.14694,0.92184,0.03943,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,4850.96,1.12914,1.32643,0.02425,0.74641,0.75605,0.82664,0.56017,1.16707,0.85665,0.04005,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,5125.59,1.12273,1.31084,0.02395,0.77243,0.72714,0.81234,0.54125,1.15913,0.90683,0.04016,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,5480.91,1.11132,1.29049,0.0236,0.77964,0.77562,0.84093,0.57641,1.09675,0.82206,0.03735,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,5822.46,1.09352,1.25164,0.02318,0.7636,0.77709,0.8326,0.57219,1.08277,0.83566,0.03689,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
