epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,834.887,1.06849,5.5063,0.02099,0.51714,0.55899,0.60805,0.43802,1.04975,1.58544,0.02973,0.000126997,0.000126997,0.000126997
2,1556.87,1.01614,2.09777,0.01928,0.69878,0.74874,0.78463,0.56071,0.97504,1.15831,0.02669,0.000250274,0.000250274,0.000250274
3,2224.36,1.07159,1.40684,0.02129,0.79604,0.7499,0.83556,0.59114,1.07599,0.81564,0.03057,0.00036847,0.00036847,0.00036847
4,2878.93,1.05612,1.16686,0.02074,0.76028,0.76979,0.81802,0.58969,1.00901,0.8047,0.0294,0.000362131,0.000362131,0.000362131
5,3542.8,1.06655,1.06506,0.02073,0.762,0.6465,0.77069,0.55265,1.02783,1.19265,0.02898,0.000354508,0.000354508,0.000354508
6,4371.25,1.05838,1.0036,0.02111,0.8787,0.76864,0.87514,0.63906,1.02614,0.66007,0.02906,0.000346885,0.000346885,0.000346885
7,5226.09,1.02011,0.88854,0.02027,0.83184,0.87296,0.86934,0.62043,1.03296,0.60045,0.02867,0.000339262,0.000339262,0.000339262
8,5959.63,0.99171,0.83373,0.01963,0.86216,0.87731,0.93024,0.68449,0.9567,0.58476,0.02643,0.000331639,0.000331639,0.000331639
9,6819.07,0.96994,0.77481,0.01877,0.83938,0.90893,0.90005,0.64848,0.99403,0.60356,0.02812,0.000324016,0.000324016,0.000324016
10,7837.87,0.98445,0.77504,0.01891,0.7997,0.92786,0.90395,0.65836,0.962,0.67527,0.02593,0.000316393,0.000316393,0.000316393
11,8764,0.97188,0.75797,0.01871,0.84481,0.84418,0.90335,0.66647,0.9776,0.6874,0.02688,0.00030877,0.00030877,0.00030877
12,9663.63,0.93837,0.67097,0.01832,0.8098,0.85174,0.89888,0.67024,0.92795,0.62489,0.02496,0.000301147,0.000301147,0.000301147
13,10631.6,0.92283,0.68906,0.01812,0.89805,0.86281,0.94078,0.68748,0.97446,0.48133,0.02722,0.000293524,0.000293524,0.000293524
14,11314.9,0.92601,0.65621,0.01809,0.85131,0.89615,0.93273,0.69538,0.92237,0.55522,0.02474,0.000285901,0.000285901,0.000285901
15,12205.9,0.91071,0.65629,0.01762,0.86527,0.87669,0.92302,0.69443,0.93337,0.55451,0.02553,0.000278278,0.000278278,0.000278278
16,13058.3,0.90378,0.63161,0.01711,0.90731,0.88145,0.9411,0.68575,0.99068,0.51562,0.02727,0.000270655,0.000270655,0.000270655
17,13852.5,0.87807,0.59772,0.01686,0.92938,0.81378,0.93278,0.68854,0.9254,0.599,0.02507,0.000263032,0.000263032,0.000263032
18,14731,0.89397,0.60131,0.0173,0.89696,0.88531,0.94066,0.70969,0.91174,0.51839,0.02453,0.000255409,0.000255409,0.000255409
19,15510.6,0.87139,0.56659,0.0162,0.91568,0.88233,0.92,0.70063,0.89405,0.48164,0.02349,0.000247786,0.000247786,0.000247786
20,16311.2,0.85107,0.53282,0.01601,0.84488,0.92787,0.9185,0.6895,0.87044,0.53722,0.02311,0.000240163,0.000240163,0.000240163
21,17095,0.83939,0.53397,0.01594,0.86317,0.89167,0.92966,0.69546,0.92136,0.54376,0.02481,0.00023254,0.00023254,0.00023254
22,17946.4,0.81495,0.53981,0.01544,0.87516,0.90073,0.93638,0.68584,0.95462,0.56556,0.02647,0.000224917,0.000224917,0.000224917
23,18661.4,0.80932,0.49748,0.01547,0.8713,0.8509,0.92452,0.68894,0.92276,0.56995,0.02462,0.000217294,0.000217294,0.000217294
